class	prop	rdf	-*- tab-width: 32 -*-
Funding	postMoneyValuationCurrency	cg:postMoneyValuationCurrency
Funding	postMoneyValuationLocal	cg:postMoneyValuationLocal
Funding	source	dct:source
Funding	transactionType	cg:transactionType
Funding	typeText	cg:typeText
FundingParticipation	funding	cg:funding
FundingParticipation	investor	cg:investor
FundingParticipation	investorNumber	cg:investorNumber
FundingParticipation	isLead	cg:isLead
FundingParticipation	person	cg:person
GeoCoordinates	lat	schema:latitude
GeoCoordinates	long	schema:longitude
GeoCoordinates	precision	cg:geoPrecision
GeoCoordinates	resolution	ebg:geoResolution
GeoResolution	address	cg:address
GeoResolution	altLabel	skos:altLabel
GeoResolution	broader	skos:broader
GeoResolution	country	cg:country
GeoResolution	created	dct:created
GeoResolution	description	skos:description
GeoResolution	descriptionLong	cg:descriptionLong
GeoResolution	ident	skos:notation
GeoResolution	identifier	adms:identifier
GeoResolution	inScheme	skos:inScheme
GeoResolution	isCluster	cg:isCluster
GeoResolution	language	schema:availableLanguage
GeoResolution	modified	dct:modified
GeoResolution	order	cg:order
GeoResolution	prefLabel	skos:prefLabel
GeoResolution	source	dct:source
Geoname	altName	gn:alternateName
Geoname	ancestorPlace	gn:parentFeature
Geoname	countryCode	gn:countryCode
Geoname	featureClass	gn:featureClass
Geoname	featureCode	gn:featureCode
Geoname	gn:name	gn:name
Geoname	lat	wgs84:lat
Geoname	long	wgs84:long
Geoname	parentCountry	gn:parentCountry
Geoname	parentRegion	gn:parentADM1
Geoname	population	gn:population
Identifier	date	dct:issued
Identifier	domain	cg:domain
Identifier	ident	skos:notation
Identifier	identRaw	cg:identRaw
Identifier	identifierSystem	dct:isPartOf
Identifier	source	dct:source
IdentifierSystem	country	cg:country
IdentifierSystem	dataset	cg:dataset
IdentifierSystem	ident	skos:notation
IdentifierSystem	schema:name	schema:name
IdentifierSystem	urlTemplate	ebg:urlTemplate
IdentifierSystem	validationRegex	ebg:validationRegex
Industry	address	cg:address
Industry	altLabel	skos:altLabel
Industry	broader	skos:broader
Industry	country	cg:country
Industry	created	dct:created
Industry	description	skos:description
Industry	descriptionLong	cg:descriptionLong
Industry	ident	skos:notation
Industry	identifier	adms:identifier
Industry	inScheme	skos:inScheme
Industry	isCluster	cg:isCluster
Industry	language	schema:availableLanguage
Industry	modified	dct:modified
Industry	order	cg:order
Industry	prefLabel	skos:prefLabel
Industry	source	dct:source
InvestorType	address	cg:address
InvestorType	altLabel	skos:altLabel
InvestorType	broader	skos:broader
InvestorType	country	cg:country
InvestorType	created	dct:created
InvestorType	description	skos:description
InvestorType	descriptionLong	cg:descriptionLong
InvestorType	ident	skos:notation
InvestorType	identifier	adms:identifier
InvestorType	inScheme	skos:inScheme
InvestorType	isCluster	cg:isCluster
